Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,344,"China, Hong Kong SAR",HKG,,,,,,,,04,Cereals and cereal preparations,1,No Quantity,,,,,,,206546064,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,392,Japan,JPN,,,,,,,,04,Cereals and cereal preparations,1,No Quantity,,,,,,,14436806,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,04,Cereals and cereal preparations,1,No Quantity,,,,,,,243089835,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,04,Cereals and cereal preparations,1,No Quantity,,,,,,,11197872,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,04,Cereals and cereal preparations,1,No Quantity,,,,,,,191413448,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,04,Cereals and cereal preparations,1,No Quantity,,,,,,,394274897,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,04,Cereals and cereal preparations,1,No Quantity,,,,,,,38068727,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,276,Germany,DEU,,,,,,,,05,Vegetables and fruit,1,No Quantity,,,,,,,8130968,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,276,Germany,DEU,,,,,,,,05,Vegetables and fruit,1,No Quantity,,,,,,,532004468,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,344,"China, Hong Kong SAR",HKG,,,,,,,,05,Vegetables and fruit,1,No Quantity,,,,,,,1138523,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,344,"China, Hong Kong SAR",HKG,,,,,,,,05,Vegetables and fruit,1,No Quantity,,,,,,,411831521,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,392,Japan,JPN,,,,,,,,05,Vegetables and fruit,1,No Quantity,,,,,,,12589176,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,05,Vegetables and fruit,1,No Quantity,,,,,,,2607058034,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,05,Vegetables and fruit,1,No Quantity,,,,,,,31442771,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,05,Vegetables and fruit,1,No Quantity,,,,,,,870422846,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,05,Vegetables and fruit,1,No Quantity,,,,,,,605869567,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,05,Vegetables and fruit,1,No Quantity,,,,,,,1625943021,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,276,Germany,DEU,,,,,,,,06,"Sugars, sugar preparations and honey",1,No Quantity,,,,,,,6075251,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,276,Germany,DEU,,,,,,,,06,"Sugars, sugar preparations and honey",1,No Quantity,,,,,,,20785875,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,344,"China, Hong Kong SAR",HKG,,,,,,,,06,"Sugars, sugar preparations and honey",1,No Quantity,,,,,,,8738937,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,344,"China, Hong Kong SAR",HKG,,,,,,,,06,"Sugars, sugar preparations and honey",1,No Quantity,,,,,,,73746258,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,392,Japan,JPN,,,,,,,,06,"Sugars, sugar preparations and honey",1,No Quantity,,,,,,,7473985,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,06,"Sugars, sugar preparations and honey",1,No Quantity,,,,,,,134086136,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,06,"Sugars, sugar preparations and honey",1,No Quantity,,,,,,,107739143,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,06,"Sugars, sugar preparations and honey",1,No Quantity,,,,,,,74233855,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,842,USA,USA,,,,,,,,06,"Sugars, sugar preparations and honey",1,No Quantity,,,,,,,40220042,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,06,"Sugars, sugar preparations and honey",1,No Quantity,,,,,,,162548231,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,276,Germany,DEU,,,,,,,,07,"Coffee, tea, cocoa, spices, and manufactures thereof",1,No Quantity,,,,,,,15589554,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,276,Germany,DEU,,,,,,,,07,"Coffee, tea, cocoa, spices, and manufactures thereof",1,No Quantity,,,,,,,110019135,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,344,"China, Hong Kong SAR",HKG,,,,,,,,07,"Coffee, tea, cocoa, spices, and manufactures thereof",1,No Quantity,,,,,,,1870742,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,344,"China, Hong Kong SAR",HKG,,,,,,,,07,"Coffee, tea, cocoa, spices, and manufactures thereof",1,No Quantity,,,,,,,123755040,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,392,Japan,JPN,,,,,,,,07,"Coffee, tea, cocoa, spices, and manufactures thereof",1,No Quantity,,,,,,,18878659,,,0
S4,2010,2010,2010,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,07,"Coffee, tea, cocoa, spices, and manufactures thereof",1,No Quantity,,,,,,,184343130,,,0
S4,2010,2010,2010,2,0,1,Import,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,07,"Coffee, tea, cocoa, spices, and manufactures thereof",1,No Quantity,,,,,,,3431120,,,0
